record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
83,229,9,13,1977,13,DM,M,35.0,44.0
84,233,9,13,1977,2,DM,M,25.0,44.0
85,234,9,13,1977,9,DM,M,35.0,45.0
86,235,9,13,1977,13,DM,F,37.0,45.0
87,238,9,13,1977,2,PE,M,20.0,19.0
88,242,9,13,1977,2,OX,M,19.0,22.0
89,243,10,16,1977,6,DM,F,38.0,44.0
90,244,10,16,1977,22,DM,F,36.0,42.0
91,245,10,16,1977,2,DM,M,37.0,39.0
92,246,10,16,1977,13,DM,M,37.0,47.0
93,248,10,16,1977,22,OT,M,27.334412974478006,21.0
94,249,10,16,1977,13,DM,M,36.0,42.0
95,251,10,16,1977,2,DM,M,36.0,49.0
96,253,10,16,1977,20,DM,M,38.0,39.0
97,254,10,16,1977,20,DM,F,36.0,43.0
98,255,10,16,1977,18,DM,M,35.0,50.0
99,256,10,16,1977,6,DM,M,36.0,41.0
100,257,10,16,1977,2,DM,M,37.0,47.0
101,258,10,16,1977,18,DM,F,36.0,37.0
102,259,10,16,1977,2,DM,M,36.0,41.0
103,260,10,16,1977,22,DM,F,36.0,36.0
104,261,10,16,1977,6,DM,M,36.0,45.0
105,262,10,16,1977,20,PE,M,19.0,20.0
106,263,10,16,1977,1,DM,M,37.0,40.0
107,265,10,16,1977,9,DM,M,38.0,49.0
108,268,10,16,1977,2,DM,F,36.0,55.0
109,269,10,16,1977,6,DM,M,37.0,46.0
110,270,10,16,1977,1,DM,F,36.0,38.0
111,273,10,16,1977,9,DM,M,37.0,44.0
112,274,10,16,1977,2,OL,F,20.0,21.0
113,275,10,16,1977,20,DM,M,37.0,41.0
114,277,10,16,1977,6,OL,F,20.0,21.0
115,280,10,16,1977,18,DM,M,37.0,46.0
116,283,10,16,1977,6,DM,M,34.0,36.0
117,284,10,16,1977,13,DM,M,37.0,44.0
118,285,10,16,1977,1,DM,M,36.0,53.0
119,287,10,17,1977,17,DM,M,38.0,41.0
120,288,10,17,1977,17,DM,M,37.0,48.0
121,289,10,17,1977,14,DM,M,38.0,47.0
122,292,10,17,1977,3,DO,F,36.0,33.0
123,293,10,17,1977,4,DM,F,36.0,42.0
124,294,10,17,1977,3,DO,F,37.0,50.0
125,295,10,17,1977,11,DM,M,36.0,41.0
126,296,10,17,1977,17,OT,F,18.0,21.0
127,298,10,17,1977,19,DM,M,36.0,49.0
128,302,10,17,1977,19,DM,F,36.0,44.0
129,303,10,17,1977,3,DM,M,36.0,31.0
130,304,10,17,1977,21,DM,M,37.0,40.0
131,305,10,17,1977,14,DM,F,35.0,40.0
132,306,10,17,1977,16,DM,M,33.0,23.0
133,307,10,17,1977,19,DM,M,36.0,42.0
134,311,10,17,1977,19,RM,M,18.0,13.0
135,312,10,17,1977,11,DM,F,36.0,42.0
136,313,10,17,1977,19,DM,M,35.0,31.0
137,315,10,17,1977,3,DM,M,36.0,39.0
138,316,10,17,1977,15,DM,M,37.0,48.0
139,317,10,17,1977,17,DO,F,32.0,48.0
140,318,10,17,1977,17,DM,M,33.0,29.0
141,319,10,17,1977,14,DM,M,36.0,45.0
142,320,10,17,1977,17,DM,F,35.0,39.0
143,321,10,17,1977,17,OL,F,27.334412974478006,23.0
144,323,10,17,1977,17,DO,F,33.0,31.0
145,328,10,18,1977,16,DM,F,27.334412974478006,43.0
146,330,10,18,1977,5,DM,M,37.0,43.0
147,332,10,18,1977,12,PF,M,16.0,8.0
148,334,10,18,1977,5,DM,F,37.0,45.0
149,336,10,18,1977,12,DM,M,36.0,40.0
150,337,10,18,1977,8,DO,F,35.0,41.0
151,338,10,18,1977,12,DM,M,37.0,41.0
152,340,10,18,1977,12,DM,F,36.0,39.0
153,342,10,18,1977,16,DM,M,34.0,25.0
154,345,11,12,1977,22,DM,F,34.0,45.0
155,346,11,12,1977,2,DM,F,37.0,36.0
156,347,11,12,1977,6,DM,F,38.0,40.0
157,348,11,12,1977,13,DM,M,36.0,44.0
158,350,11,12,1977,2,DM,M,37.0,47.0
159,352,11,12,1977,1,DM,M,36.0,40.0
160,354,11,12,1977,2,DM,M,38.0,44.0
161,356,11,12,1977,1,DO,F,32.0,44.0
162,357,11,12,1977,9,DS,F,50.0,117.0
163,358,11,12,1977,13,PF,F,16.0,7.0
164,359,11,12,1977,18,DM,M,36.0,40.0
165,360,11,12,1977,20,DM,F,35.0,39.0
166,361,11,12,1977,2,DM,F,36.0,40.0
167,362,11,12,1977,1,DS,F,51.0,121.0
168,364,11,12,1977,9,DM,M,37.0,46.0
169,365,11,12,1977,1,DM,F,38.0,35.0
170,367,11,12,1977,20,DS,M,51.0,115.0
171,368,11,12,1977,9,PF,F,16.0,7.0
172,369,11,12,1977,20,DM,F,36.0,39.0
173,370,11,12,1977,9,DM,M,35.0,40.0
174,371,11,12,1977,13,DM,M,36.0,40.0
175,372,11,12,1977,22,DM,F,36.0,35.0
176,373,11,12,1977,6,DM,M,34.0,36.0
177,374,11,12,1977,18,DM,M,37.0,44.0
178,375,11,12,1977,9,PF,F,15.0,6.0
179,376,11,12,1977,1,PF,F,15.0,7.0
180,377,11,12,1977,9,DS,F,48.0,120.0
181,378,11,12,1977,1,DO,M,33.0,48.0
182,379,11,13,1977,14,DM,M,36.0,44.0
183,380,11,13,1977,17,DM,F,33.0,38.0
184,381,11,13,1977,17,DS,F,48.0,118.0
185,382,11,13,1977,17,DM,M,37.0,40.0
186,383,11,13,1977,11,DS,F,52.0,126.0
187,384,11,13,1977,11,DM,M,36.0,37.0
188,385,11,13,1977,17,DS,M,50.0,132.0
189,388,11,13,1977,11,DM,F,36.0,39.0
190,389,11,13,1977,14,DS,F,27.334412974478006,113.0
191,391,11,13,1977,11,PF,M,15.0,7.0
192,392,11,13,1977,11,DS,F,53.0,122.0
193,394,11,13,1977,4,DS,F,48.0,107.0
194,395,11,13,1977,14,DM,M,36.0,43.0
195,396,11,13,1977,14,DM,F,36.0,40.0
196,397,11,13,1977,17,RM,F,16.0,7.0
197,398,11,13,1977,4,DS,F,50.0,115.0
198,399,11,13,1977,17,DM,F,36.0,39.0
199,404,11,14,1977,12,DM,M,37.0,40.0
200,407,11,14,1977,5,DS,F,50.0,116.0
201,408,11,14,1977,8,PF,F,9.0,6.0
202,409,11,14,1977,12,DM,F,36.0,38.0
203,410,11,14,1977,5,DS,M,53.0,137.0
204,411,11,14,1977,5,DM,M,36.0,42.0
205,412,11,14,1977,5,DS,M,52.0,126.0
206,413,11,14,1977,8,DS,F,49.0,112.0
207,414,11,14,1977,8,DO,F,34.0,39.0
208,415,11,14,1977,5,DM,F,36.0,41.0
209,420,12,10,1977,13,DM,F,38.0,48.0
210,421,12,10,1977,9,DS,F,51.0,121.0
211,422,12,10,1977,2,DM,F,37.0,42.0
212,423,12,10,1977,13,DM,M,36.0,42.0
213,424,12,10,1977,2,DM,M,37.0,52.0
214,425,12,10,1977,20,DM,F,36.0,38.0
215,426,12,10,1977,22,DM,M,36.0,45.0
216,427,12,10,1977,2,DM,F,37.0,37.0
217,428,12,10,1977,9,DO,F,33.0,40.0
218,429,12,10,1977,1,DM,M,27.334412974478006,38.0
219,430,12,10,1977,9,PF,F,15.0,7.0
220,433,12,10,1977,9,DM,M,38.0,44.0
221,434,12,10,1977,13,PF,F,16.0,7.0
222,436,12,10,1977,18,DM,F,37.0,33.0
223,437,12,10,1977,18,DM,F,37.0,38.0
224,438,12,10,1977,2,DM,M,36.0,47.0
225,439,12,10,1977,20,DM,F,36.0,39.0
226,440,12,10,1977,1,PF,F,16.0,7.0
227,443,12,10,1977,13,DM,M,35.0,42.0
228,444,12,10,1977,6,DM,M,38.0,36.0
229,447,12,10,1977,18,DM,M,37.0,44.0
230,448,12,10,1977,20,DS,M,51.0,116.0
231,449,12,10,1977,2,DM,M,35.0,43.0
232,450,12,10,1977,1,DO,M,33.0,45.0
233,451,12,10,1977,9,DS,F,51.0,116.0
234,453,12,10,1977,9,DM,M,36.0,42.0
235,454,12,10,1977,1,DM,F,36.0,38.0
236,460,12,11,1977,12,DS,F,27.334412974478006,114.0
237,461,12,11,1977,14,DM,M,36.0,41.0
238,462,12,11,1977,17,DM,M,36.0,40.0
239,463,12,11,1977,4,DS,M,49.0,134.0
240,464,12,11,1977,5,DS,M,49.0,139.0
241,466,12,11,1977,4,DS,F,51.0,118.0
242,467,12,11,1977,8,DO,F,32.0,41.0
243,468,12,11,1977,11,DM,M,35.0,37.0
244,470,12,11,1977,4,PF,M,15.0,6.0
245,472,12,11,1977,11,DS,F,49.0,127.0
246,474,12,11,1977,8,PF,F,15.0,6.0
247,476,12,11,1977,8,DS,F,27.334412974478006,120.0
248,477,12,11,1977,17,DS,F,47.0,115.0
249,479,12,11,1977,14,DM,F,36.0,40.0
250,480,12,11,1977,14,DS,F,47.0,114.0
251,481,12,11,1977,17,DM,F,35.0,37.0
252,482,12,11,1977,17,DM,M,37.0,46.0
253,483,12,11,1977,8,DS,M,49.0,149.0
254,484,12,11,1977,11,DM,F,37.0,38.0
255,485,12,11,1977,11,DS,M,52.0,127.0
256,487,12,11,1977,12,DM,F,38.0,36.0
257,488,12,11,1977,12,DM,M,37.0,41.0
258,490,12,11,1977,14,DM,M,37.0,44.0
259,491,12,11,1977,11,DS,M,48.0,138.0
260,492,12,11,1977,12,DS,M,49.0,110.0
261,493,12,11,1977,4,DS,F,49.0,110.0
262,496,12,11,1977,17,DM,F,36.0,37.0
263,498,12,11,1977,3,PF,M,16.0,7.0
264,499,12,11,1977,11,DS,F,51.0,121.0
265,502,12,11,1977,5,DM,F,36.0,43.0
266,505,1,8,1978,13,DM,M,36.0,43.0
267,507,1,8,1978,2,DM,M,35.0,44.0
268,508,1,8,1978,20,DM,F,36.0,36.0
269,510,1,8,1978,13,PF,F,16.0,8.0
270,511,1,8,1978,2,DM,M,36.0,38.0
271,512,1,8,1978,9,DS,F,48.0,122.0
272,514,1,8,1978,9,PF,M,16.0,7.0
273,515,1,8,1978,9,DO,F,27.334412974478006,42.0
274,516,1,8,1978,9,DM,M,38.0,46.0
275,517,1,8,1978,2,PE,M,26.0,22.0
276,518,1,8,1978,2,DM,M,36.0,38.0
277,519,1,8,1978,2,DM,M,38.0,48.0
278,520,1,8,1978,3,PF,M,15.0,7.0
279,521,1,8,1978,2,DM,M,36.0,43.0
280,522,1,8,1978,2,DM,F,37.0,35.0
281,523,1,8,1978,2,DM,M,36.0,43.0
282,525,1,8,1978,6,DM,M,34.0,36.0
283,526,1,8,1978,9,DS,F,51.0,117.0
284,527,1,8,1978,2,DM,F,37.0,37.0
285,528,1,8,1978,20,DS,M,51.0,122.0
286,529,1,8,1978,9,DM,M,36.0,43.0
287,530,1,8,1978,13,DM,M,37.0,42.0
288,532,1,8,1978,2,PF,F,27.334412974478006,7.0
289,533,1,8,1978,2,DM,M,27.334412974478006,45.0
290,538,1,9,1978,17,DM,M,36.0,40.0
291,539,1,9,1978,17,DM,F,34.0,37.0
292,540,1,9,1978,17,DS,F,47.0,117.0
293,541,1,9,1978,11,DM,M,36.0,40.0
294,542,1,9,1978,1,DM,M,36.0,40.0
295,543,1,9,1978,4,DS,M,49.0,132.0
296,545,1,9,1978,1,DM,F,38.0,36.0
297,548,1,9,1978,8,DS,M,53.0,150.0
298,549,1,9,1978,11,DM,M,38.0,44.0
299,550,1,9,1978,14,DM,F,36.0,40.0
300,551,1,9,1978,4,DS,F,50.0,126.0
301,552,1,9,1978,11,DS,F,51.0,122.0
302,553,1,9,1978,8,DS,F,50.0,136.0
303,555,1,9,1978,14,DS,F,48.0,116.0
304,556,1,9,1978,17,DM,F,36.0,38.0
305,557,1,9,1978,11,DM,F,37.0,39.0
306,558,1,9,1978,1,DS,F,49.0,135.0
307,559,1,9,1978,14,DM,M,36.0,46.0
308,560,1,9,1978,17,DS,M,50.0,133.0
309,561,1,9,1978,11,DS,M,53.0,136.0
310,564,1,10,1978,18,DS,F,51.0,141.0
311,566,1,10,1978,18,DM,F,36.0,38.0
312,567,1,10,1978,12,DM,F,36.0,35.0
313,569,1,10,1978,5,DS,M,27.334412974478006,135.0
314,571,1,10,1978,18,DM,F,27.334412974478006,33.0
315,572,1,10,1978,18,DM,M,38.0,51.0
316,573,1,10,1978,5,DS,F,27.334412974478006,122.0
317,574,1,10,1978,18,DM,F,34.0,33.0
318,575,1,10,1978,18,DM,M,38.0,47.0
319,576,1,10,1978,18,DM,M,36.0,49.0
320,578,1,10,1978,18,DM,M,27.334412974478006,46.0
321,579,1,10,1978,5,DM,F,27.334412974478006,45.0
322,580,1,10,1978,12,DM,M,27.334412974478006,41.0
323,584,2,18,1978,3,OT,M,27.334412974478006,24.0
324,585,2,18,1978,2,DS,M,53.0,157.0
325,586,2,18,1978,13,DM,M,35.0,51.0
326,588,2,18,1978,2,NL,M,27.334412974478006,218.0
327,589,2,18,1978,20,DM,F,39.0,38.0
328,590,2,18,1978,2,PF,F,16.0,7.0
329,592,2,18,1978,22,DM,M,39.0,45.0
330,593,2,18,1978,2,DM,M,38.0,52.0
331,594,2,18,1978,9,DM,M,38.0,50.0
332,595,2,18,1978,2,DM,M,37.0,51.0
333,596,2,18,1978,9,DS,F,27.334412974478006,126.0
334,597,2,18,1978,20,DM,F,33.0,39.0
335,598,2,18,1978,2,OT,F,27.334412974478006,24.0
336,599,2,18,1978,3,OT,F,15.0,23.0
337,600,2,18,1978,2,DM,F,37.0,40.0
338,601,2,18,1978,2,DM,M,36.0,41.0
339,602,2,18,1978,13,DM,M,37.0,46.0
340,603,2,18,1978,2,OT,M,27.334412974478006,25.0
341,604,2,18,1978,2,PE,M,22.0,25.0
342,607,2,19,1978,5,DM,F,36.0,39.0
343,608,2,19,1978,17,DM,F,34.0,42.0
344,610,2,19,1978,17,DM,M,37.0,39.0
345,611,2,19,1978,21,OT,F,20.0,23.0
346,614,2,19,1978,4,DS,F,49.0,124.0
347,615,2,19,1978,5,DS,F,49.0,114.0
348,616,2,19,1978,11,DM,M,36.0,44.0
349,617,2,19,1978,11,DM,M,38.0,48.0
350,619,2,19,1978,14,DM,F,39.0,44.0
351,620,2,19,1978,8,DS,F,49.0,132.0
352,622,2,19,1978,17,DS,F,46.0,137.0
353,624,2,19,1978,4,DM,M,35.0,39.0
354,625,2,19,1978,5,DM,F,35.0,56.0
355,626,2,19,1978,17,OL,F,20.0,35.0
356,629,2,19,1978,14,NL,F,27.334412974478006,197.0
357,630,2,19,1978,5,OT,F,18.0,22.0
358,631,2,19,1978,5,OT,M,20.0,25.0
359,633,2,19,1978,8,DS,M,55.0,154.0
360,635,2,20,1978,15,DM,M,38.0,49.0
361,636,2,20,1978,18,DM,F,36.0,44.0
362,637,2,20,1978,18,DM,F,38.0,35.0
363,638,2,20,1978,12,DM,F,37.0,36.0
364,639,2,20,1978,1,DM,F,35.0,39.0
365,640,2,20,1978,12,DS,F,50.0,133.0
366,641,2,20,1978,15,DM,M,38.0,50.0
367,642,2,20,1978,1,DM,M,36.0,43.0
368,643,2,20,1978,15,DM,F,35.0,40.0
369,644,2,20,1978,18,DM,M,38.0,45.0
370,645,2,20,1978,12,DM,M,38.0,44.0
371,646,2,20,1978,18,NL,M,32.0,228.0
372,647,2,20,1978,1,DS,F,52.0,144.0
373,648,2,20,1978,16,DM,F,37.0,46.0
374,649,2,20,1978,16,DM,M,35.0,48.0
375,650,3,11,1978,2,PF,F,15.0,7.0
376,651,3,11,1978,20,DM,M,38.0,45.0
377,652,3,11,1978,2,PF,M,14.0,8.0
378,653,3,11,1978,22,DS,F,47.0,133.0
379,654,3,11,1978,22,DM,F,37.0,40.0
380,655,3,11,1978,3,NL,M,32.0,232.0
381,656,3,11,1978,9,DS,F,49.0,128.0
382,657,3,11,1978,2,DS,M,54.0,153.0
383,658,3,11,1978,3,OT,F,21.0,22.0
384,659,3,11,1978,20,OT,F,20.0,21.0
385,660,3,11,1978,2,DM,M,37.0,53.0
386,662,3,11,1978,13,PF,F,15.0,8.0
387,663,3,11,1978,2,OT,M,18.0,25.0
388,664,3,11,1978,2,DM,M,35.0,43.0
389,665,3,11,1978,20,DM,F,35.0,43.0
390,666,3,11,1978,13,OL,M,21.0,38.0
391,667,3,11,1978,20,DM,F,35.0,42.0
392,668,3,11,1978,3,OT,M,21.0,26.0
393,669,3,11,1978,9,DS,F,50.0,146.0
394,670,3,11,1978,2,OT,F,20.0,25.0
395,671,3,11,1978,2,PE,M,20.0,28.0
396,672,3,11,1978,3,PF,M,15.0,8.0
397,673,3,11,1978,2,PE,F,27.334412974478006,29.0
398,674,3,11,1978,20,DS,M,49.0,122.0
399,677,3,12,1978,5,DS,M,52.0,137.0
400,678,3,12,1978,4,DS,M,49.0,131.0
401,679,3,12,1978,5,DS,F,49.0,125.0
402,684,3,12,1978,4,DM,M,35.0,43.0
403,687,3,12,1978,5,DS,F,27.334412974478006,69.0
404,688,3,12,1978,4,DS,F,48.0,141.0
405,689,3,12,1978,11,DS,M,53.0,138.0
406,690,3,12,1978,11,DM,M,36.0,43.0
407,691,3,12,1978,4,DS,F,50.0,124.0
408,694,3,12,1978,11,DM,F,37.0,43.0
409,696,3,12,1978,5,DM,F,37.0,45.0
410,697,3,12,1978,11,DM,M,36.0,46.0
411,699,3,12,1978,5,DM,F,36.0,43.0
412,700,3,12,1978,5,DM,M,37.0,49.0
413,702,3,12,1978,5,DM,M,35.0,47.0
414,708,3,12,1978,5,OT,M,20.0,26.0
415,710,3,13,1978,8,DS,M,49.0,152.0
416,711,3,13,1978,18,DM,F,37.0,44.0
417,712,3,13,1978,15,DM,M,36.0,48.0
418,713,3,13,1978,8,OT,M,15.0,29.0
419,714,3,13,1978,15,DM,F,27.334412974478006,44.0
420,715,3,13,1978,18,DM,M,36.0,49.0
421,716,3,13,1978,15,DM,M,35.0,45.0
422,717,3,13,1978,1,DM,F,27.334412974478006,51.0
423,718,3,13,1978,8,DO,M,35.0,57.0
424,720,3,13,1978,8,DS,F,47.0,134.0
425,721,3,13,1978,1,DM,F,37.0,44.0
426,722,3,13,1978,16,OL,F,27.334412974478006,30.0
427,723,3,13,1978,8,OT,F,16.0,35.0
428,724,3,13,1978,15,DM,M,37.0,48.0
429,725,3,13,1978,1,DS,F,27.334412974478006,146.0
430,726,3,13,1978,18,DM,F,27.334412974478006,37.0
431,729,3,13,1978,15,DM,M,36.0,46.0
432,731,4,8,1978,2,DS,F,47.0,110.0
433,770,4,9,1978,4,DM,M,37.0,26.0
434,771,4,9,1978,4,DM,M,35.0,44.0
435,773,4,9,1978,5,DM,M,37.0,48.0
436,774,4,9,1978,5,DM,M,36.0,39.0
437,775,4,9,1978,5,DM,M,37.0,44.0
438,776,4,9,1978,5,DM,M,37.0,45.0
439,777,4,9,1978,8,OT,M,20.0,27.0
440,778,4,9,1978,8,DM,M,36.0,36.0
441,780,4,9,1978,11,DM,M,27.334412974478006,51.0
442,781,4,9,1978,11,DM,F,37.0,45.0
443,782,4,9,1978,11,DM,M,37.0,47.0
444,783,4,9,1978,14,DS,F,47.0,90.0
445,784,4,9,1978,17,OT,M,27.334412974478006,23.0
446,785,4,9,1978,17,DM,M,39.0,49.0
447,786,4,9,1978,11,DS,M,52.0,131.0
448,787,4,9,1978,5,DS,F,50.0,114.0
449,788,4,9,1978,17,DM,M,36.0,42.0
450,789,4,9,1978,8,DS,M,52.0,148.0
451,790,4,9,1978,5,DS,F,50.0,76.0
452,791,4,9,1978,5,DS,M,53.0,141.0
453,792,4,9,1978,17,DM,F,34.0,42.0
454,793,4,9,1978,4,DS,F,49.0,121.0
455,794,4,9,1978,11,DM,M,35.0,44.0
456,795,4,9,1978,17,DO,F,33.0,55.0
457,796,4,9,1978,4,DS,M,50.0,133.0
458,797,4,9,1978,17,DS,M,50.0,142.0
459,798,4,9,1978,8,DS,F,48.0,142.0
460,799,4,9,1978,11,DM,F,36.0,46.0
461,800,4,9,1978,5,DM,F,35.0,50.0
462,801,4,9,1978,14,DS,F,46.0,142.0
463,803,4,9,1978,4,DS,F,48.0,84.0
464,804,4,9,1978,4,DM,M,34.0,42.0
465,805,4,9,1978,17,DS,F,47.0,142.0
466,806,4,9,1978,4,DS,F,47.0,118.0
467,807,4,9,1978,17,DM,F,35.0,43.0
468,808,4,9,1978,11,DS,F,51.0,132.0
469,809,4,9,1978,11,DS,F,47.0,75.0
470,810,4,9,1978,14,DM,F,27.334412974478006,49.0
471,814,4,10,1978,1,DS,M,55.0,168.0
472,815,4,10,1978,1,DM,F,38.0,43.0
473,816,4,10,1978,18,DS,F,46.0,84.0
474,818,4,10,1978,1,DS,F,49.0,87.0
475,819,4,10,1978,12,DS,F,27.334412974478006,117.0
476,820,4,10,1978,18,DM,F,35.0,42.0
477,821,4,10,1978,16,DM,F,34.0,41.0
478,822,4,10,1978,1,DS,F,48.0,140.0
479,823,4,10,1978,18,DM,F,33.0,40.0
480,824,4,10,1978,12,DM,M,38.0,45.0
481,825,4,10,1978,18,NL,M,27.334412974478006,225.0
482,826,4,10,1978,16,OT,M,20.0,18.0
483,827,4,10,1978,15,DM,M,36.0,47.0
484,828,4,10,1978,18,DM,F,27.334412974478006,48.0
485,829,4,10,1978,1,DS,M,48.0,89.0
486,830,4,10,1978,18,DM,M,38.0,51.0
487,833,5,6,1978,2,PF,M,14.0,8.0
488,834,5,6,1978,22,DM,M,38.0,47.0
489,835,5,6,1978,2,DS,M,53.0,149.0
490,836,5,6,1978,9,DS,F,49.0,124.0
491,837,5,6,1978,6,DS,F,48.0,73.0
492,838,5,6,1978,2,DM,M,37.0,48.0
493,839,5,6,1978,9,DS,M,51.0,139.0
494,840,5,6,1978,6,DM,M,37.0,41.0
495,841,5,6,1978,20,DS,M,27.334412974478006,123.0
496,842,5,6,1978,2,DM,F,38.0,41.0
497,843,5,6,1978,22,DS,F,50.0,114.0
498,844,5,6,1978,9,DS,F,46.0,59.0
499,845,5,6,1978,2,NL,M,32.0,204.0
500,846,5,6,1978,9,DS,F,27.334412974478006,90.0
501,847,5,6,1978,20,DM,M,35.0,45.0
502,848,5,6,1978,22,NL,M,32.0,212.0
503,849,5,6,1978,2,DM,M,36.0,43.0
504,850,5,6,1978,22,DS,F,48.0,91.0
505,851,5,6,1978,9,DS,M,46.0,50.0
506,852,5,6,1978,13,DM,M,36.0,44.0
507,853,5,6,1978,9,DS,F,49.0,113.0
508,854,5,6,1978,9,DM,M,36.0,36.0
509,855,5,6,1978,9,DS,F,27.334412974478006,90.0
510,856,5,6,1978,9,DM,F,37.0,50.0
511,859,5,6,1978,21,OT,F,13.0,9.0
512,861,5,17,1978,21,OL,F,19.0,29.0
513,862,5,17,1978,5,DS,M,52.0,137.0
514,863,5,17,1978,5,DS,M,48.0,57.0
515,864,5,17,1978,12,DS,F,27.334412974478006,121.0
516,865,5,17,1978,20,DM,F,37.0,31.0
517,866,5,17,1978,12,DM,F,37.0,41.0
518,867,5,17,1978,6,DM,M,37.0,37.0
519,868,5,17,1978,6,DS,F,50.0,83.0
520,869,5,17,1978,20,NL,F,33.0,174.0
521,870,5,17,1978,22,DS,F,49.0,116.0
522,871,5,17,1978,6,DS,F,27.334412974478006,74.0
523,872,5,17,1978,20,DS,M,52.0,130.0
524,874,5,17,1978,20,DM,M,37.0,40.0
525,875,5,17,1978,5,NL,F,33.0,212.0
526,876,5,17,1978,6,DM,M,36.0,41.0
527,877,5,17,1978,12,DS,F,50.0,83.0
528,880,5,18,1978,16,DM,M,27.334412974478006,48.0
